"57","PROV-LG ÉCOLE POLYTECHNIQUE D'HERSTAL","ecole-polytechnique-herstal","Rue de l'école technique, 34",,"Herstal",,"4040",,,,,,,"11-ecole_polytechnique_de_herstal.jpg","0","<p>POSITION : situé au rez-de-chaussée au bureau d'accueil.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6411150999","50.671352700","19","34","62","1","0",,"herstal, 4040, ecole, polytechnique","609"
"58","BROWNING INTERNATIONAL","browning-international","3ème Avenue 25",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé au corps de garde</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6179375000","50.6982657","15","34","62","1","0",,"BROWNING INTERNATIONAL, herstal, hauts-sarts, 4040,fn","608"
"59","FN HERSTAL","fn-herstal","Voie de Liège 33",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé au corps de garde</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6327467999","50.6694113","13","34","62","1","0",,"herstal, fn, 4040, ","607"
"60","INTRADEL","intradel","rue Pré Wigy 904",,"herstal",,"4040",,,,,,,,"0","<p>POSITION : situé à l'accueil au rez-de-chaussée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6417649676","50.680168465","19","34","62","1","0",,"intradel, herstal, 4040","606"
"61","COLGATE PALMOLIVE","colgate-palmolive","Avenue Parc Industriel 89",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée dans le hall d'entrée</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5769045377","50.691240499","15","34","62","1","0",,"palmolive, colgate, herstal, 4040, hauts-sarts","605"
"62","CRECHE COMMUNALE","creche-communale","Avenue d'Alés 1 ",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée dans le hall d'entrée principale</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6243885999","50.6688183","13","34","62","1","0",,"crèche, herstal, 4040","604"
"63","HOTEL VILLE HERSTAL","hotel-ville-herstal","Place Jean Jaurés 1",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé au premier étage dans le bureau du bourgmestre</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6305393000","50.6651271","13","34","62","1","0",,"herstal, 4040, hotel de ville","603"
"64","HALL OMNISPORT LA PRÉALLE","hall-omnisport-la-prealle","Rue Emile Muraille 158 ",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée à l'infirmerie</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6182132000","50.674815","13","34","62","1","0",,"herstal, 4040, préalle, omnisport","602"
"65","PISCINE HERSTAL","piscine-herstal","Rue Large Voie 74",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée dans le local du maître nageurs</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6329977999","50.6661704","13","34","62","1","0",,"herstal, piscine, 4040, ","601"
"66","MECAMOLD","mecamold","Rue de Hermée 195",,"Herstal",,"4040",,,,,,,,"0","<p>POSITION : situé à l'infirmerie Mecamold</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6275199000","50.693703199","13","34","62","1","0",,"mecamold, herstal, 4040","600"
"67","LEHDIS INTERMARCHÉ","lehdis-intermarche","Avenue Reine Astrid 5",,"Herve",,"4650",,,,,,,,"0","<p>POSITION : situé à la sortie des caisses</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.7977508999","50.6438648","13","34","62","1","0",,"herve, 4650, intermarché, lehdis","599"
"68","PROV-LG ÉCOLE POLYTECHNIQUE DE HUY","prov-lg-ecole-polytechnique-de-huy","Rue St. Pierre 48",,"Huy",,"4500",,,,,,,"12-ecole_polytechnique_de_huy_-_rue_saint_pierre.jpg","0","POSITION : situé au 1er étage, dans le bureau du chef d'atelier.",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.2362774000","50.5232119","12","34","62","1","0",,"huy, 4500, ecole polytechnique, sipp","598"
"69","PROV-LG INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMÉDICAL","prov-lg-institut-denseignement-secondaire-paramedical","Avenue Delchambre 6",,"Huy",,"4500",,,,,,,"13-ipes_paramédical__v._delchambre_huy.jpg","0","POSITION : situé dans le hall d'entrée.",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.2417140000","50.522452","13","34","62","1","0",,"huy, 4500, ecole, paramédicale, sipp","597"
"70","ONEM HUY","onem-huy","Avenue des Fossées 9D ",,"Huy",,"4500",,,,,,,,"0","<p>POSITION : situé à proximité de l'accueil</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.2337496999","50.521021999","13","34","62","1","0",,"Huy, 4500, onem","596"
